filename,split
002ae037be8b7b7a8605866296c2d0a1.npy,train
0041a20dcdfd5e0d1ca0752365a70634.npy,test
00605158d1e70d86f1a84bbc0814ef8d.npy,train
00a4278f55642b43303183da6f2751ba.npy,train
010e294b8cc56aa73b24f8ab0dd4f560.npy,val
015394e050ffbd1878db1f7d1a70842f.npy,train
018ec2e4b15301675570513c9380cfe8.npy,train
02130fb14431f31039955d8b02b976a4.npy,train
0217d2fbfa84f388fa37432f17a7ee5a.npy,train
02f03a7f7ba0650b157d4d411af5c9ca.npy,train
0337b82f7e8e6a9ac9b82183ade7eac6.npy,train
035323ee3330e84be752322e598a24cc.npy,train
0383f4481eea23076f24a5f60371a3c0.npy,train
04555dc06c542cc6bc0a7880152a5346.npy,test
046efe0cfda8e1c30952bc9ff866b313.npy,test
047b19f3c82730836b128e72d8bfb6a5.npy,train
049bfe5cb1609e5cbc03e462bb11f632.npy,train
04afc6f6a2cbff9c28fb6803e40f958c.npy,train
0689adf36dbcc7a5146dc77f49b35ab7.npy,train
0696922a8279c10c1f0540ae7e172e83.npy,train
06b311f67220e3be48b40a79ccbc86e9.npy,test
071d9556e906bb992246142717eb3548.npy,test
07418d90d6fc03b91c8f91f9aee8efdc.npy,train
0752a9a3b8b67fb19af82ebb5c14468c.npy,train
075a6d6c761ae81e75fce9ba14c94e63.npy,train
0796058ceedc30c80a635699fa87617d.npy,train
07f58b802b42f992d82f5d7934b98831.npy,train
084cd633dee55e11e63d8cddc5e73a50.npy,test
08970eeeca23735569e50c3351d33578.npy,train
09982d59666d15ecc36d4c5e6d9c605d.npy,train
09a7f5d4d13d899521b85820121683e0.npy,train
09b4c7cc9e943fc5fae788b6570045c4.npy,train
0a4664b3787b86f84f6bb8e841a3dbd5.npy,test
0aca661702f546f161effb91c4a3be3a.npy,train
0acb7063368807464364e8fe03ea78b5.npy,test
0ad97c77466be07676c0393c8eab8935.npy,val
0ae7dbbaff0a131f4f23851e7b7e68f2.npy,train
0b61c236808108106533f5fd27a02a97.npy,train
0b99e6942cba30010b2be732d7a943d4.npy,train
0c27c868aa8718b4b6cbed588e197338.npy,train
0c33bc4155cf7bfb61ae0af0be9dd265.npy,test
0c3cb83284ea84cbcd6ca3baff284622.npy,train
0c55147a28385f41917919cc41068a25.npy,train
0ca95191d8057393e9c70b735422e73a.npy,train
0cdebbcf0def9c813931619da6483e33.npy,train
0ce124e53a0875b635e5410720cff816.npy,train
0cf50aae839ff1586aa5a75f0ff65254.npy,train
0d31143f6c4e1eb1f7a7912fa87a29e7.npy,val
0de291ba7300f587fb4dc3b12f6b4680.npy,train
0df5d5cf51632f35013c1561bbeb8324.npy,train
0df8d098d48fcb263fb3602e8707a23e.npy,train
0e0469bc76b00c7e1b02d8964a83ac62.npy,train
0e37a9c3adf3e395eac23605932d5dc5.npy,test
0ea0877ec47c88c13a920dfe0576901b.npy,train
0eb56f543c05a148bf4e65dfe403a377.npy,train
0eb8449b867ce446b4f3cc149ae43b37.npy,train
0ebd5d210fd47d535a6020a5cbb705a9.npy,train
0ecf93d1252f3d0b8c8562a9f14bf263.npy,train
0eec52fa82994a6cc333e574513c85e4.npy,test
0f0d7ba2b322cd7635a18c7f02f6168a.npy,train
0f1a2273e760be7ea22400ab9d556f9e.npy,train
0f1a5f51043f6780735216a9dec713c3.npy,train
0f260d0194e4013e6645e0147097f9c1.npy,test
0f2f0700a321b812aeb1b9c9c17aac6d.npy,train
0f44a2d58152dceae002eddda2b6a661.npy,test
0f79a3e27dfbf09ea0bd36e7d7516822.npy,train
0fc63766408d13f9259e31c21c73c9e7.npy,train
102ad12ffe0e081b44935c599feddf05.npy,train
102b3c1548c5f0e571e5273841f15b73.npy,train
106dcc497e7e2c3a01cc30c7afb79d75.npy,train
1078b798a80a22b6109640f8465c35c7.npy,train
108cffc5e372d57fdb4eafa6cf92795a.npy,test
110def40024ba1cf4917b7f8f571abd9.npy,train
1129914bece077bb19d88dc51105e613.npy,train
117a69dabe72617a51b1eb08963a171b.npy,train
122927889e0eb285c3f673336b0db352.npy,train
1234eb868bf51752cf0da28594e4e07e.npy,train
124cbc565a4b9361689c397f590ce94c.npy,train
12b99ea5e92fa0100abe5229c5551d59.npy,train
130edb3b243c2c37e0599ae7082a32e1.npy,train
1396a3a02a7229cd0ebcf353d6cfb0b0.npy,test
140e1596811fa1683393a3ad495f734f.npy,train
141062ad12f1016a3f57050dbe88f655.npy,train
14510f6a5213403dbedd8b94bdeb7f3a.npy,train
14594c0f037565f59d25d95d62d3dd8e.npy,train
14627729cf39606435a73abf8582ee2a.npy,val
149b6b240055bfbe6d9afed45608110b.npy,train
14afe63687cb52d94f9ae523d1a9256b.npy,test
14b9048fa8466fe1cd13c08a7d5a7ba1.npy,train
15579b69b581dde8c6eec92ce8429a09.npy,train
155c58608e0db189dd0452884eb0bfed.npy,train
1684bdbe5e3bc430e2a0194460ea2652.npy,test
171f346482890da1e3a1d35bc8aa1aa1.npy,train
17375a277a4ef41bb1d1551237405685.npy,train
173772bb0e2a861993eaa07aed0b165b.npy,train
173ab805f43f23aafa306053285d8cd0.npy,val
182f80013d77c14660c52f1c18480346.npy,train
18439c646d672af4a44d2ba44ab91a9f.npy,train
1854c2fee58f8d0ab7c13f2dddf0f7e2.npy,val
185bca99e3a70f9b5ea3f4f2c2f43b68.npy,test
185ea9a2f7dc7a087c565a4a5a14ea44.npy,train
1871b7c3e01c37d7a9a663b7613c8493.npy,train
1877b5426f17c13710a92e48a8970d80.npy,test
18c945c733877f64e2cda007281a6893.npy,train
18dec15446a7587a83aaf367826af962.npy,train
193c18ed3720d76a117143afa9d8f690.npy,test
195a7871a31bfe9114642c676e5a28eb.npy,test
19749d74fd1d4590adbc66b6876b8da5.npy,train
1984d231cd76d47c605e52d54adc0a94.npy,train
1a77bc5bf1603e6a67724c85536380da.npy,train
1baad84c026f048334c414149285ccdb.npy,train
1bc09701bb4885210331bd1ac2a87a53.npy,train
1cea12c2440aa4f0997edaec069379be.npy,val
1d06c72d74a23b5b9b574b9b9dc0d2dd.npy,train
1d18657b55a542fe9fbb43169ae9ce69.npy,train
1d29310e7102ec2a4b3f8145d0440fc1.npy,train
1d514994267979c06496c29ceec08d3e.npy,train
1d7cee5c880487b6793926f111cdf148.npy,train
1d997f4d7ab8ff946279c3cc48b9ac95.npy,train
